GIORNO,Ora solare,VV (m/s),VVmax (m/s),DV (GN),Taria (°C),Um (%),Rs (W/m2)
11/10/19,01:00:00 AM,4.1,5.1,17,15,91,
11/10/19,02:00:00 AM,4.3,5.5,22,14.7,89,0
11/10/19,03:00:00 AM,3.9,4.7,15,14.7,85,0
11/10/19,04:00:00 AM,3.7,5,4,14.2,84,
11/10/19,05:00:00 AM,3.3,5,45,14.1,84,0
11/10/19,06:00:00 AM,4.3,6.1,31,14.1,84,
11/10/19,07:00:00 AM,4,5.3,13,14.2,83,85
11/10/19,08:00:00 AM,5.4,6.8,21,15,79,267
11/10/19,09:00:00 AM,4.4,5.3,14,16.2,74,431
11/10/19,10:00:00 AM,4.3,5.4,27,17.1,66,563
11/10/19,11:00:00 AM,3.4,4.3,25,18,63,635
11/10/19,12:00:00 PM,2,2.4,37,19.2,54,647
11/10/19,01:00:00 PM,1.3,2.1,46,20.8,49,597
11/10/19,02:00:00 PM,1.8,2.5,121,19.4,57,499
11/10/19,03:00:00 PM,2.4,2.8,172,18.9,64,351
11/10/19,04:00:00 PM,2.9,3.2,157,18.7,66,173
11/10/19,05:00:00 PM,2.9,3.1,162,18.9,67,29
11/10/19,06:00:00 PM,2.5,3,178,18.4,75,
11/10/19,07:00:00 PM,1.9,2.4,198,18,78,
11/10/19,08:00:00 PM,1.9,2.2,208,17.7,83,
11/10/19,09:00:00 PM,2.1,3.1,228,17.5,82,
11/10/19,10:00:00 PM,1.9,3.5,249,17.1,87,
11/10/19,11:00:00 PM,2,3.2,252,16.6,88,0
12/10/19,12:00:00 AM,1.3,1.8,271,16.2,87,
12/10/19,01:00:00 AM,1.3,1.7,306,15.7,84,
12/10/19,02:00:00 AM,1.5,2,356,15,88,0
12/10/19,03:00:00 AM,1.5,1.8,356,14.5,89,
12/10/19,04:00:00 AM,2.2,2.4,6,13.3,94,0
12/10/19,05:00:00 AM,2.6,3,17,11.4,97,1
12/10/19,06:00:00 AM,2.4,3.1,4,11.2,100,0
12/10/19,07:00:00 AM,2.6,3.2,352,11.7,100,28
12/10/19,08:00:00 AM,3,3.5,18,11.9,100,135
12/10/19,09:00:00 AM,2.5,3.1,14,12.5,100,191
12/10/19,10:00:00 AM,2.4,3.2,13,13.4,100,221
12/10/19,11:00:00 AM,3.5,3.9,20,14.3,100,383
12/10/19,12:00:00 PM,1.4,1.8,40,17.2,96,450
12/10/19,01:00:00 PM,1.2,1.8,164,17.1,86,481
12/10/19,02:00:00 PM,2.2,2.5,173,17.6,81,456
12/10/19,03:00:00 PM,3.2,3.6,166,17.4,85,334
12/10/19,04:00:00 PM,3.6,4,164,17.6,85,138
12/10/19,05:00:00 PM,3.4,3.9,166,17.9,81,43
12/10/19,06:00:00 PM,2.9,3.3,169,17.9,82,
12/10/19,07:00:00 PM,2,2.3,165,18,84,
12/10/19,08:00:00 PM,2.3,2.9,193,17.9,84,0
12/10/19,09:00:00 PM,2.1,2.5,209,17.9,84,0
12/10/19,10:00:00 PM,1.9,2.4,208,17.7,86,0
12/10/19,11:00:00 PM,1.2,1.8,243,17.4,89,0
13/10/19,12:00:00 AM,1.8,2.8,250,16.8,92,0
13/10/19,01:00:00 AM,2.3,2.9,274,16.1,94,0
13/10/19,02:00:00 AM,2.1,2.6,262,15.9,96,
13/10/19,03:00:00 AM,1.6,2.5,288,15.9,95,
13/10/19,04:00:00 AM,2.1,3,357,15.3,94,0
13/10/19,05:00:00 AM,0.8,1.1,357,14.5,97,0
13/10/19,06:00:00 AM,0.9,1.1,7,14.8,96,0
13/10/19,07:00:00 AM,0,0,,15.3,93,48
13/10/19,08:00:00 AM,0.6,1,332,15.3,95,125
13/10/19,09:00:00 AM,0.3,0.6,68,18.1,83,314
13/10/19,10:00:00 AM,1.3,1.7,171,17,83,367
13/10/19,11:00:00 AM,1.3,1.7,188,17.3,82,344
13/10/19,12:00:00 PM,1.5,1.8,197,17.5,81,402
13/10/19,01:00:00 PM,2.2,2.4,172,18,79,572
13/10/19,02:00:00 PM,1.7,2.1,140,18.2,83,445
13/10/19,03:00:00 PM,2.6,3,130,18,84,291
13/10/19,04:00:00 PM,2.1,2.5,146,18.2,84,140
13/10/19,05:00:00 PM,2.5,3.1,145,18.1,86,17
13/10/19,06:00:00 PM,2.3,2.5,149,18.2,84,0
13/10/19,07:00:00 PM,1.6,1.9,155,18.2,85,0
13/10/19,08:00:00 PM,1.3,1.5,169,18.2,87,
13/10/19,09:00:00 PM,2.1,2.4,190,18.2,88,0
13/10/19,10:00:00 PM,2.1,2.8,209,17.8,91,0
13/10/19,11:00:00 PM,1.7,2.7,220,17.4,93,
14/10/19,12:00:00 AM,1.4,3,227,17.1,94,
14/10/19,01:00:00 AM,1.4,1.9,261,16.9,96,0
14/10/19,02:00:00 AM,1.1,1.5,274,16.4,97,0
14/10/19,03:00:00 AM,0.6,1.1,289,16.2,96,0
14/10/19,04:00:00 AM,0.3,0.4,349,16,96,0
14/10/19,05:00:00 AM,0.5,0.7,3,15.9,96,0
14/10/19,06:00:00 AM,0.7,0.9,341,15.9,97,0
14/10/19,07:00:00 AM,1.6,2.1,14,15.1,98,34
14/10/19,08:00:00 AM,0.7,1.1,7,15,100,73
14/10/19,09:00:00 AM,1.3,1.6,12,14.7,100,226
14/10/19,10:00:00 AM,0.9,1.2,45,15.7,100,244
14/10/19,11:00:00 AM,0.5,0.8,63,17.2,97,339
14/10/19,12:00:00 PM,1.1,1.4,175,18,86,409
14/10/19,01:00:00 PM,1.1,1.6,155,18.1,85,231
14/10/19,02:00:00 PM,3.1,3.5,126,18.2,82,214
14/10/19,03:00:00 PM,2.7,3,128,18.3,81,271
14/10/19,04:00:00 PM,2.9,3.3,127,18.1,86,97
14/10/19,05:00:00 PM,3.9,4.3,159,18.1,91,11
14/10/19,06:00:00 PM,3.7,4.5,145,18.3,89,0
14/10/19,07:00:00 PM,2.6,3,150,18.3,88,0
14/10/19,08:00:00 PM,2.7,3.1,174,18.4,87,
14/10/19,09:00:00 PM,2,2.3,171,18.5,90,
14/10/19,10:00:00 PM,2.7,3,178,18.4,91,0
14/10/19,11:00:00 PM,1.7,2.2,9,17.4,94,0
15/10/19,12:00:00 AM,2.1,2.5,23,17,98,0
15/10/19,01:00:00 AM,2.9,3.4,24,17.1,97,0
15/10/19,02:00:00 AM,2.6,3.2,24,17.1,99,0
15/10/19,03:00:00 AM,3.3,3.9,26,16.9,98,0
15/10/19,04:00:00 AM,2.4,2.9,45,17,97,0
15/10/19,05:00:00 AM,2.4,2.8,39,16.8,98,0
15/10/19,06:00:00 AM,2.6,3.5,54,16.8,97,0
15/10/19,07:00:00 AM,3.4,4.2,32,17.1,96,5
15/10/19,08:00:00 AM,4.1,5,43,17.1,95,24
15/10/19,09:00:00 AM,4.3,5.3,35,17.1,95,77
15/10/19,10:00:00 AM,3.9,5,40,17.8,97,395
15/10/19,11:00:00 AM,4.7,6.4,31,17.8,94,142
15/10/19,12:00:00 PM,4.7,5.8,47,18.4,95,154
15/10/19,01:00:00 PM,5.3,6.3,129,19.9,89,530
15/10/19,02:00:00 PM,5.8,7.4,125,19.7,90,185
15/10/19,03:00:00 PM,4.9,5.9,124,19.6,92,140
15/10/19,04:00:00 PM,5.8,7.3,138,19.7,92,30
15/10/19,05:00:00 PM,8.2,11.5,142,19.5,93,10
15/10/19,06:00:00 PM,10.8,13.2,147,19.6,91,0
15/10/19,07:00:00 PM,10.1,12.2,143,19.7,91,0
15/10/19,08:00:00 PM,12.2,13.9,159,19.6,91,0
15/10/19,09:00:00 PM,1.2,1.8,201,17.8,87,0
15/10/19,10:00:00 PM,1.1,1.6,136,18.3,89,
15/10/19,11:00:00 PM,1.2,1.6,346,17.8,91,0
16/10/19,12:00:00 AM,0.6,1.2,43,17.8,92,0
16/10/19,01:00:00 AM,2.7,3.7,201,18.4,91,
16/10/19,02:00:00 AM,3.1,5.4,216,17.9,84,0
16/10/19,03:00:00 AM,3.7,5.6,252,16.5,89,0
16/10/19,04:00:00 AM,2.7,4.8,246,16.3,92,
16/10/19,05:00:00 AM,2.4,4.3,248,15.5,88,0
16/10/19,06:00:00 AM,2.6,4.6,231,16.2,82,
16/10/19,07:00:00 AM,3.1,5,249,15.8,81,63
16/10/19,08:00:00 AM,3.2,5.2,272,15.3,83,240
16/10/19,09:00:00 AM,1.8,2.6,286,16.8,81,398
16/10/19,10:00:00 AM,2.1,2.9,267,17.4,81,523
16/10/19,11:00:00 AM,2,3.4,246,17.6,87,588
16/10/19,12:00:00 PM,2.3,2.9,191,17.4,87,613
16/10/19,01:00:00 PM,3.1,3.6,186,17.6,84,573
16/10/19,02:00:00 PM,2.9,3.7,196,17.8,83,243
16/10/19,03:00:00 PM,2.8,3.2,175,18.6,81,325
16/10/19,04:00:00 PM,1.5,2,195,19,78,143
16/10/19,05:00:00 PM,2.5,2.8,188,18.8,79,22
16/10/19,06:00:00 PM,2.9,3.5,164,18.7,82,
16/10/19,07:00:00 PM,1.1,1.1,194,18.4,81,
16/10/19,08:00:00 PM,0.5,0.7,159,18.1,85,
16/10/19,09:00:00 PM,0,0,,17.9,89,
16/10/19,10:00:00 PM,1.6,1.9,218,17.7,92,
16/10/19,11:00:00 PM,1.7,2.5,253,17,89,
17/10/19,12:00:00 AM,1.7,2.3,336,16.5,92,0
17/10/19,01:00:00 AM,1.7,2.3,356,15.7,95,
17/10/19,02:00:00 AM,1.7,2.1,2,15,97,
17/10/19,03:00:00 AM,3.6,4.2,23,14.8,98,0
17/10/19,04:00:00 AM,1.5,2,4,14.8,99,0
17/10/19,05:00:00 AM,1.9,2.5,336,13.8,99,0
17/10/19,06:00:00 AM,3.3,4.4,350,13.4,100,
